EmployeeID,Age,Gender,Department,JobRole,YearsAtCompany,MonthlyIncome,JobSatisfaction,WorkLifeBalance,OverTime,DistanceFromHome,NumCompaniesWorked,TrainingTimesLastYear,PerformanceRating,Attrition
EMP0001,50,Female,Sales,Sales Representative,16,118500.67,1,3,Yes,19,4,6,3,No
EMP0002,36,Female,Sales,Sales Executive,17,51744.11,4,1,No,20,6,3,3,No
EMP0003,29,Female,Finance,Accountant,16,91315.39,4,1,No,44,8,1,1,No
EMP0004,42,Male,IT,Data Analyst,8,165918.16,1,1,Yes,39,1,2,1,Yes
EMP0005,40,Male,IT,IT Support,9,84659.2,1,1,No,40,4,2,4,No
EMP0006,44,Male,IT,IT Support,9,37972.05,4,1,No,7,9,5,4,No
EMP0007,32,Male,Sales,Sales Executive,6,90918.5,4,3,Yes,6,8,6,1,No
EMP0008,32,Female,Sales,Sales Representative,15,35768.52,2,4,No,25,2,4,1,Yes
EMP0009,45,Male,IT,Software Engineer,17,83652.84,2,3,No,41,0,2,3,Yes
EMP0010,57,Male,Sales,Sales Representative,5,96562.31,2,3,No,59,1,4,2,No
EMP0011,45,Female,Sales,Sales Representative,19,48987.29,1,3,No,13,5,5,3,Yes
EMP0012,24,Female,Finance,Finance Manager,0,360405.5,3,4,Yes,39,4,3,1,Yes
EMP0013,43,Female,Operations,Operations Manager,0,157588.45,4,3,No,40,0,5,4,No
EMP0014,23,Male,Finance,Finance Manager,11,360953.22,2,3,No,22,0,4,1,No
EMP0015,45,Male,Operations,Operations Executive,20,71429.61,3,4,No,49,3,2,4,No
EMP0016,51,Male,Sales,Sales Executive,1,49582.91,4,3,Yes,17,3,0,4,No
EMP0017,59,Male,Operations,Operations Manager,3,183444.54,3,1,No,48,5,4,4,Yes
EMP0018,23,Male,Sales,Sales Executive,16,115797.65,1,2,No,22,5,1,4,No
EMP0019,42,Male,Operations,Operations Manager,3,168166.4,1,3,No,34,9,0,2,Yes
EMP0020,54,Male,Operations,Operations Manager,10,199773.35,1,2,Yes,8,5,6,1,No
EMP0021,33,Male,Finance,Finance Manager,3,236955.59,2,3,No,49,0,4,3,No
EMP0022,43,Male,Operations,Logistics Officer,0,85821.14,4,3,No,45,9,1,4,No
EMP0023,46,Female,HR,HR Manager,6,286200.27,1,1,No,18,8,6,4,Yes
EMP0024,48,Female,Sales,Sales Representative,17,41307.91,2,4,No,24,6,5,3,No
EMP0025,49,Female,IT,IT Support,8,56075.52,2,2,No,54,6,0,3,Yes
EMP0026,37,Male,HR,Recruiter,2,51487.66,2,4,No,42,6,4,4,Yes
EMP0027,36,Male,Sales,Sales Representative,7,49218.86,2,1,No,2,1,3,3,No
EMP0028,24,Male,HR,Recruiter,18,67002.99,1,1,No,2,1,5,3,No
EMP0029,58,Female,Operations,Logistics Officer,3,93362.83,2,2,No,27,5,1,2,No
EMP0030,28,Female,Sales,Sales Manager,17,204363.23,1,4,Yes,14,6,3,3,Yes
EMP0031,42,Male,Finance,Accountant,19,63001.1,1,1,No,48,2,2,1,No
EMP0032,30,Female,Operations,Operations Executive,10,65182.57,2,3,No,39,3,5,1,Yes
EMP0033,39,Male,Operations,Logistics Officer,13,117881.09,1,3,No,53,2,5,1,No
EMP0034,25,Male,Operations,Operations Executive,17,115919.97,4,3,No,53,6,4,4,Yes
EMP0035,46,Female,IT,Software Engineer,15,102012.38,4,4,No,56,6,4,1,No
EMP0036,35,Female,Operations,Operations Manager,2,210414.73,3,3,No,12,3,1,2,No
EMP0037,30,Female,Finance,Finance Manager,14,167009.33,4,3,Yes,32,6,5,1,No
EMP0038,47,Female,Sales,Sales Manager,3,229226.03,1,1,No,28,4,4,4,No
EMP0039,23,Male,IT,Data Analyst,4,112015.35,1,1,Yes,55,0,2,2,Yes
EMP0040,41,Female,Finance,Financial Analyst,16,140711.1,4,3,Yes,28,9,6,1,Yes
EMP0041,49,Male,Sales,Sales Executive,6,99995.51,2,3,No,46,3,6,2,No
EMP0042,28,Female,HR,HR Manager,15,364580.73,2,1,No,25,6,6,2,No
EMP0043,29,Male,HR,HR Executive,13,106037.77,1,2,No,4,1,4,4,Yes
EMP0044,56,Female,Sales,Sales Executive,15,62370.8,2,4,Yes,26,1,5,4,No
EMP0045,35,Male,HR,HR Manager,6,321808.59,3,4,Yes,36,0,6,2,No
EMP0046,38,Female,Finance,Financial Analyst,8,117540.1,3,1,No,50,1,0,1,Yes
EMP0047,57,Male,IT,Software Engineer,3,35481.5,4,4,No,3,9,3,4,No
EMP0048,25,Female,Sales,Sales Manager,10,325391.32,4,1,Yes,1,7,5,2,Yes
EMP0049,23,Male,Sales,Sales Manager,1,152456.89,2,1,No,17,7,2,3,No
EMP0050,27,Male,IT,Data Analyst,11,129101.91,1,1,No,7,7,5,3,Yes
EMP0051,25,Male,Operations,Operations Manager,11,232344.82,4,1,No,48,0,2,4,Yes
EMP0052,50,Male,Sales,Sales Representative,3,92403.98,3,2,No,5,0,5,1,No
EMP0053,39,Female,HR,HR Executive,17,98962.09,4,3,No,19,9,6,3,No
EMP0054,47,Male,Sales,Sales Representative,20,57368.52,4,3,No,39,3,3,3,No
EMP0055,55,Female,IT,Software Engineer,6,103046.43,3,2,No,46,5,3,3,No
EMP0056,31,Male,Finance,Financial Analyst,0,115270.01,1,4,Yes,34,7,2,1,Yes
